Price,Beds,Bath,Sq.Ft
199000,2,1.5,816
199500,2,1,821
300000,2,2,928
579000,4,2.5,1107
999900,3,3,1150
569900,3,2.5,1578
1149900,2,2.5,1920
359900,3,2,948
629000,5,3,1339
1795000,4,3.5,3517
265000,2,2,877
349900,1,1,665
399900,3,1.5,1188
799900,3,2.5,1665
550000,2,2,821
639900,3,2.5,1877
379900,1,1,925
479900,3,1.5,1201
589000,3,2.5,1664
819900,2,2,1086
2400000,6,2,2147
265000,1,1,578
489000,4,2.5,1500
275000,1,1,669
224900,1,1,570
799900,2,2,1660
659900,3,2.5,1712
699000,4,3,1538
710000,2,2.5,2122
874900,3,2,927
205000,1,1,450
999990,4,3.5,2552
210000,1,1,400
474977,3,2.5,1102
269900,1,1,664
460000,2,1.5,1023
2099900,4,4.5,2923
549900,3,2.5,1900
549900,3,2,1078
215000,1,1,701
455000,2,1.5,1193
1179000,4,3.5,1907
494900,2,2,1031
950000,6,3.5,2709
889900,4,3.5,2261
455900,2,2.5,1202
439900,2,2,1089
450000,3,1.5,1073
869900,4,3,2631
769000,3,2.5,2094
659900,3,2.5,1235
689800,3,2.5,1869
295000,1,1,680
899000,6,4,2758
400000,4,2,960
699900,2,2,1330
579900,3,2.5,1691
290000,2,2,852
229900,1,1,640
278800,2,1,698
749900,3,2.5,2088
499900,3,2.5,1319
1250000,5,3.5,3218
549900,5,2,1035
349999,2,2,729
425000,1,1,959
340000,2,1,790
899900,5,3.5,2719
774900,4,3.5,2182
260000,2,1.5,1083
239900,1,1,589
930000,3,2.5,2188
319000,2,2,850
240000,1,1,501
399900,2,2,1302
369999,2,1.5,1025
315000,2,1.5,852
235000,2,1,758
799900,3,2.5,1751
478900,4,2.5,1502
249999,2,1,829
799500,5,3.5,2397
899900,4,3.5,1741
755000,4,3,2301
859990,4,2.5,2355
969900,4,2.5,2641
358900,1,1,717
1150000,4,3.5,3143
374900,2,1,803
849000,4,2.5,1824
400000,2,2.5,1351
192000,2,1,852
835000,4,3.5,2125
1695000,3,2,1802
349000,2,1,847
244900,2,1.5,1073
324900,2,2,832
209900,2,1,808
749000,6,2.5,1169
400000,2,2,1855
315000,2,1,799
1590000,4,2.5,2003
819000,4,3,2154
949900,5,2,1156
503895,3,2.5,1133
919000,6,4.5,2275
339900,2,2,1178
279900,2,1,673
425000,3,2.5,1386
1100000,7,5,2750
499000,2,2,905
672000,5,3.5,1749
889000,5,3.5,2222
419900,2,3,2243
190000,2,1,846
399900,3,1.5,1063
310000,2,2,935
299000,1,1,419
355555,2,2,846
329000,2,2,1001
574900,4,2.5,1133
629900,4,3,1453
1099900,5,3.5,2268
499000,3,2.5,1415
585000,3,2.5,1518
735000,6,3.5,2241
469900,3,1,1120
665000,3,2.5,1869
339900,1,1,591
619900,3,2.5,1520
1275000,4,4.5,2136
449900,2,2,1204
569000,3,2.5,1440
1199000,5,3.5,1864
369900,1,1,570
259900,2,1,671
944000,6,3.5,2841
439900,3,2.5,1380
479900,5,2.5,1043
350000,4,1.5,984
369000,2,2,700
780000,5,3,2370
409900,3,2.5,1394
479900,5,3,946
3200000,5,4.5,3686
299900,1,1,888
389900,3,1,955
729900,3,2.5,1812
